Message_Name,Clickthrough__Date,URL
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 15:35,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni) Group 3,10/31/2024 12:50,http://tigers.rit.edu/site/MessageViewer?em_id=18442.0&dlv_id=24300
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 12:41,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 13:32,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 12:01,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13941_f1_ROAR Day - Launch (RIT Alumni),11/3/2024 23:16,https://give.rit.edu/pages/roar-day-social-media-toolkit?utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 12:15,http://tigers.rit.edu/site/MessageViewer?em_id=18430.0&dlv_id=24298
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:35,http://tigers.rit.edu/site/MessageViewer?em_id=18441.0&dlv_id=24299
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 18:35,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13944_f1_ROAR Day - Launch (RIT Athletics),11/1/2024 9:08,http://give.rit.edu/roar-day-2024/?a=8621245&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=ath
13944_f1_ROAR Day - Launch (RIT Athletics),11/1/2024 9:08,http://give.rit.edu/roar-day-2024/?a=8621245&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=ath
13941_f1_ROAR Day - Launch (RIT Alumni) Group 3,10/31/2024 12:48,http://tigers.rit.edu/site/MessageViewer?em_id=18442.0&dlv_id=24300
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:32,http://tigers.rit.edu/site/MessageViewer?em_id=18441.0&dlv_id=24299
13956_f1_ROAR Day - Launch (RIT Parents),11/1/2024 9:22,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 22:04,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:32,http://tigers.rit.edu/site/MessageViewer?em_id=18441.0&dlv_id=24299
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 12:22,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:45,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 12:15,http://tigers.rit.edu/site/MessageViewer?em_id=18430.0&dlv_id=24298
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:31,http://tigers.rit.edu/site/MessageViewer?em_id=18441.0&dlv_id=24299
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 16:18,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13956_f1_ROAR Day - Launch (RIT Parents),10/31/2024 16:18,https://give.rit.edu/roar-day-2024/?a=8621255&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=parent
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 12:15,http://tigers.rit.edu/site/MessageViewer?em_id=18430.0&dlv_id=24298
13944_f1_ROAR Day - Launch (RIT Athletics),10/31/2024 12:50,http://give.rit.edu/roar-day-2024/?a=8621245&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=ath
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 12:18,http://tigers.rit.edu/site/MessageViewer?em_id=18430.0&dlv_id=24298
13941_f1_ROAR Day - Launch (RIT Alumni) Group 3,10/31/2024 12:45,http://tigers.rit.edu/site/MessageViewer?em_id=18442.0&dlv_id=24300
13941_f1_ROAR Day - Launch (RIT Alumni) Group 4,10/31/2024 15:05,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni) Group 2,10/31/2024 12:34,http://tigers.rit.edu/site/MessageViewer?em_id=18441.0&dlv_id=24299
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 20:53,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
13941_f1_ROAR Day - Launch (RIT Alumni),10/31/2024 20:43,http://give.rit.edu/roar-day-2024/?a=8621244&utm_source=blackbaud&utm_medium=email&utm_campaign=uadv-roar-day&utm_content=alumni
