Message_Name,Delivery_Start__Date,Email Express Message,Number_Sent,Hard_Bounce_Count,Hard_Bounce_Rate,Soft_Bounce_Count,Soft_Bounce_Rate,Delivery_Count,Delivery_Rate,Open_Count,Open_Rate,Clickthrough_Count,Clickthrough_Rate,Action_Taken_Count,Action_Taken_Rate,Tell-A-Friend_Count,Tell-A-Friend_Rate,Unsubscribe_Count,Unsubscribe_Rate
"9859_f1_ROAR Day: Save the Date 4/14 - Alumni, Parents, Retirees, Friends",4/19/2022 17:00,No,77057,244,0.32,1145,1.49,75668,98.2,27462,36.29,393,0.52,32,0.04,0,0,105,0.14
9976_f1_ROAR Day: Simone Center 4/20,4/20/2022 17:00,No,199,22,11.06,0,0,177,88.94,74,41.81,1,0.56,0,0,0,0,1,0.56
9970_f1_ROAR Day: F/S Alumni 4/20,4/20/2022 17:00,No,1010,0,0,5,0.5,1005,99.5,400,39.8,6,0.6,2,0.2,0,0,0,0
9862_f1_ROAR Day: Day Of 4/21 8 a.m.,4/21/2022 8:00,No,76856,172,0.22,1141,1.48,75543,98.29,26096,34.54,745,0.99,133,0.18,0,0,110,0.15
9865_f1_ROAR Day: Day Of 4/21 12 p.m.,4/21/2022 12:00,No,76856,158,0.21,1085,1.41,75613,98.38,22426,29.66,459,0.61,138,0.18,0,0,151,0.2
9868_f1_ROAR Day: Day Of 4/21 8 p.m.,4/21/2022 20:00,No,76856,161,0.21,1129,1.47,75566,98.32,24334,32.2,433,0.57,103,0.14,0,0,154,0.2
9883_f1_ROAR Day: Thank You 4/22,4/22/2022 8:00,No,76405,23,0.03,1225,1.6,75157,98.37,26545,35.32,566,0.75,27,0.04,0,0,156,0.21
10777_f1_ROAR Day Acquisition Save the Date 10/20 9AM,10/20/2022 9:00,No,25085,218,0.87,2241,8.93,22626,90.2,4642,20.52,157,0.69,0,0,0,0,18,0.08
10765_f1_ROAR Day Athletics Save the Date 10/20 9AM,10/20/2022 9:01,No,3229,11,0.34,358,11.09,2860,88.57,846,29.58,58,2.03,0,0,0,0,3,0.1
10771_f1_ROAR Day Retention Save the Date 10/20 9AM,10/20/2022 9:01,No,2289,14,0.61,28,1.22,2247,98.17,782,34.8,35,1.56,0,0,0,0,3,0.13
