Entrance/Landing Page,Campaign,Total Users,Sessions,Sessions w/ Interaction,Interaction Rate,CTA Click Rate
give.rit.edu/roar-day-2024,uadv-roar-day,1544,2399,456,0.19007919966652773,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024,uadv-roar-day,721,1159,266,0.22950819672131148,0
www.rit.edu/alumni/dinefor1829,uadv-roar-day,173,189,127,0.671957671957672,0
give.rit.edu/campaigns/52069/donations/new,uadv-roar-day,134,179,47,0.26256983240223464,0
give.rit.edu(not set),uadv-roar-day,135,147,0,0,0
give.rit.edu/giving-day/78097/donate,uadv-roar-day,131,140,80,0.5714285714285714,0.014285714285714285
www.rit.edu/roar-day-2024,uadv-roar-day,112,121,55,0.45454545454545453,0
www.rit.edu/,uadv-roar-day,55,120,68,0.5666666666666667,0.016666666666666666
www.givecampus.com(not set),uadv-roar-day,77,97,0,0,0
give.rit.edu/giving-day/78097/leaderboards,uadv-roar-day,72,89,66,0.7415730337078652,0.19101123595505617
www.rit.edu(not set),uadv-roar-day,59,88,25,0.2840909090909091,0
www.rit.edu/infocenter,uadv-roar-day,20,53,52,0.9811320754716981,0
www.rit.edu/business,uadv-roar-day,1,46,0,0,0
www.givecampus.com/campaigns/52069/donations/new,uadv-roar-day,29,40,10,0.25,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics,uadv-roar-day,12,37,0,0,0
give.rit.edu/giving-day/78097/signup,uadv-roar-day,32,36,22,0.6111111111111112,0.1111111111111111
www.rit.edu/eservices,uadv-roar-day,25,34,31,0.9117647058823529,0
eservices.rit.edu/eservices,uadv-roar-day,22,30,0,0,0
give.rit.edu/roar-day-2024/advocacy,uadv-roar-day,15,29,8,0.27586206896551724,0
give.rit.edu/,uadv-roar-day,19,25,6,0.24,0
www.rit.edu/google,uadv-roar-day,10,24,23,0.9583333333333334,0
www.givecampus.com/schools/RochesterInstituteofTechnology/pages/roar-day-social-media-toolkit,uadv-roar-day,15,19,2,0.10526315789473684,0
give.rit.edu/pages/roar-day-social-media-toolkit,uadv-roar-day,12,17,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/rit-swim-dive,uadv-roar-day,3,17,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/login,uadv-roar-day,14,16,0,0,0
ritathletics.com/sports/mens-soccer/roster/2024,uadv-roar-day,1,14,14,1,0
www.rit.edu/infocenter/facultyStaff,uadv-roar-day,3,14,7,0.5,0
www.givecampus.com/schools/RochesterInstituteofTechnology/login,uadv-roar-day,6,13,10,0.7692307692307693,0
www.rit.edu/giving-day/78097/leaderboards,uadv-roar-day,11,13,2,0.15384615384615385,0
www.rit.edu/giving/roardaytoolkit,uadv-roar-day,12,13,3,0.23076923076923078,0
eservices.rit.edu/eservices/home,uadv-roar-day,8,12,2,0.16666666666666666,0
give.rit.edu/alumni/dinefor1829,uadv-roar-day,12,12,1,0.08333333333333333,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/womens-track-cc,uadv-roar-day,3,12,0,0,0
www.rit.edu/dining,uadv-roar-day,8,12,5,0.4166666666666667,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/dashboard,uadv-roar-day,3,11,9,0.8181818181818182,0
maps.rit.edu/,uadv-roar-day,6,11,3,0.2727272727272727,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/reporting,uadv-roar-day,2,11,8,0.7272727272727273,0
www.givecampus.com/schools/RochesterInstituteofTechnology/dashboard/home,uadv-roar-day,2,11,6,0.5454545454545454,0
www.rit.edu/admissions/transfer/accrediting-agencies,uadv-roar-day,1,11,1,0.09090909090909091,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/rit-rowing,uadv-roar-day,4,10,3,0.3,0
www.rit.edu/careers,uadv-roar-day,7,10,10,1,0
www.rit.edu/parking/9-east-residence-shuttle,uadv-roar-day,2,10,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/offline-gifts,uadv-roar-day,1,9,6,0.6666666666666666,0
www.rit.edu/dining/locations,uadv-roar-day,4,9,3,0.3333333333333333,0
give.rit.edu/giving-day/78097,uadv-roar-day,6,8,1,0.125,0
eservices.rit.edu/,uadv-roar-day,3,7,0,0,0
tigercenter.rit.edu/tigerCenterApp/api/class-search,uadv-roar-day,1,7,0,0,0
www.rit.edu/alumni/tiger-stories,uadv-roar-day,6,7,5,0.7142857142857143,0
www.rit.edu/peoplesoft,uadv-roar-day,1,6,6,1,0
give.rit.edu/users/8817415-zach-lipton,uadv-roar-day,1,6,1,0.16666666666666666,0
ritathletics.com/,uadv-roar-day,2,6,5,0.8333333333333334,0
www.rit.edu/dining/menus,uadv-roar-day,2,6,4,0.6666666666666666,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/womens-volleyball,uadv-roar-day,6,6,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-lacrosse,uadv-roar-day,2,5,0,0,0
tigers.rit.edu/roar-day-2024,uadv-roar-day,5,5,0,0,0
www.rit.edu/library,uadv-roar-day,5,5,4,0.8,0
www.rit.edu/myrit/home,uadv-roar-day,4,5,5,1,0
eservices.rit.edu/roar-day-2024,uadv-roar-day,4,4,0,0,0
give.rit.edu/campaigns/52069/donations/8755575,uadv-roar-day,1,4,0,0,0
tigercenter.rit.edu/tigerCenterApp/login_shib/tc/homepage,uadv-roar-day,2,4,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/advocacy/52069,uadv-roar-day,2,4,3,0.75,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns,uadv-roar-day,2,4,2,0.5,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069,uadv-roar-day,2,4,2,0.5,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/gifts,uadv-roar-day,1,4,3,0.75,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/unique-links,uadv-roar-day,2,4,3,0.75,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/performing-arts,uadv-roar-day,3,4,1,0.25,0
www.rit.edu/academicsuccesscenter/asc-courses,uadv-roar-day,1,4,2,0.5,0
www.rit.edu/alumni,uadv-roar-day,1,4,4,1,0
www.rit.edu/campaigns/52069/donations/new,uadv-roar-day,4,4,1,0.25,0
www.rit.edu/parking/8-province,uadv-roar-day,1,4,1,0.25,0
give.rit.edu/login,uadv-roar-day,3,3,2,0.6666666666666666,0
give.rit.edu/campaigns/52069/donations/8774886,uadv-roar-day,1,3,0,0,0
