Campaign,Medium,Source,Content,Total Users,Sessions,Sessions w/ Interaction,Interaction Rate,CTA Click Rate
uadv-roar-day,meta,social,ath,693,"1,837",388,21.12%,0.00%
uadv-roar-day,referral,shortlink,(not set),564,"1,155",303,26.23%,0.00%
uadv-roar-day,email,ritmail,stu-tom,215,335,184,54.93%,0.30%
uadv-roar-day,homepage,takeover,(not set),183,272,39,14.34%,0.00%
uadv-roar-day,email,ritmail,fs-tom,97,262,159,60.69%,0.00%
uadv-roar-day,email,blackbaud,alumni,108,180,58,32.22%,0.00%
uadv-roar-day,email,blackbaud,ath,71,151,64,42.38%,0.00%
uadv-roar-day,email,rit-mail,sep28,65,149,93,62.42%,11.41%
uadv-roar-day,email,blackbaud,parent,89,143,55,38.46%,0.00%
uadv-roar-day,cpc,meta,list,84,127,11,8.66%,0.00%
uadv-roar-day,cpc,meta,demo,83,110,6,5.45%,0.00%
uadv-roar-day,email,blackbaud,(not set),79,86,18,20.93%,0.00%
uadv-roar-day,cpc,linkedin,demo,82,83,0,0%,0.00%
uadv-roar-day,email,email,xtratime,55,72,31,43.06%,0.00%
uadv-roar-day,social,facebook,(not set),56,66,45,68.18%,0.00%
uadv-roar-day,email,blackbaud,catday,44,56,13,23.21%,0.00%
uadv-roar-day,email,rit-mail,sep29,22,55,32,58.18%,7.27%
uadv-roar-day,email,blackbaud,sep28,38,53,27,50.94%,5.66%
uadv-roar-day,email,blackbaud,dinefor1829,31,47,15,31.91%,0.00%
uadv-roar-day,email,thankview,sep28,25,40,24,60%,2.50%
uadv-roar-day,meta,social,saesnow,11,27,2,7.41%,0.00%
uadv-roar-day,email,blackbaud,sentinel,10,24,6,25%,0.00%
uadv-roar-day,meta,social,ddi,14,22,10,45.45%,0.00%
uadv-roar-day,social,linkedin,(not set),6,21,8,38.1%,0.00%
uadv-roar-day,meta,social,mlax,7,21,3,14.29%,0.00%
uadv-roar-day,meta,social,swim,11,21,2,9.52%,0.00%
uadv-roar-day,meta,social,cet,15,19,2,10.53%,0.00%
uadv-roar-day,social,ig-story,(not set),12,15,6,40%,0.00%
uadv-roar-day,email,thankview,sep29,5,14,9,64.29%,7.14%
uadv-roar-day,social,fb,partners,11,14,3,21.43%,0.00%
uadv-roar-day,social,instagram-story,(not set),12,12,5,41.67%,0.00%
uadv-roar-day,meta,social,scob,12,12,2,16.67%,0.00%
uadv-roar-day,email,blackbaud,greek,10,11,2,18.18%,0.00%
uadv-roar-day,meta,social,reporter,3,10,3,30%,0.00%
uadv-roar-day,meta,social,wsocc,6,10,1,10%,0.00%
uadv-roar-day,social,x,(not set),7,9,1,11.11%,0.00%
uadv-roar-day,meta,social,gccis,9,9,0,0%,0.00%
uadv-roar-day,email,blackbaud,sep29,8,8,1,12.5%,0.00%
uadv-roar-day,social,twitter,(not set),4,7,2,28.57%,0.00%
uadv-roar-day,social,ig,central,4,4,1,25%,0.00%
uadv-roar-day,email,(not set),sep28,4,4,0,0%,0.00%
uadv-roar-day,social,ig,(not set),3,3,0,0%,0.00%
uadv-roar-day,social,twitter-katie,(not set),3,3,2,66.67%,0.00%
uadv-roar-day,meta,social,cad,1,3,2,66.67%,0.00%
uadv-roar-day,cpc,meta,(not set),2,2,0,0%,0.00%
uadv-roar-day,social,fb,(not set),2,2,1,50%,0.00%
uadv-roar-day,meta,social,baseball,1,2,0,0%,0.00%
uadv-roar-day,social,fb,central,1,2,0,0%,0.00%
uadv-roar-day,meta,social,cola,2,2,1,50%,0.00%
uadv-roar-day,email,blackbaud,fst,1,2,2,100%,0.00%
uadv-roar-day,social,facebook,sep29,2,2,0,0%,0.00%
uadv-roar-day,meta,social,wten,1,1,0,0%,0.00%
